bathrooms,bedrooms,building_name,building_number,date,price,region,square_feet,unit,url,price_per_square_foot,year
2.0,2.0,Promenade West,28.0,2015-09-28,560000.0,Bunker Hill,1346.0,504,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-927421,416.0475482912333,2015.0
2.0,2.0,Promenade West,28.0,2015-09-03,535000.0,Bunker Hill,1324.0,611,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-906695,404.07854984894266,2015.0
2.0,2.0,Promenade West,28.0,2015-08-24,558000.0,Bunker Hill,1323.0,616,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-907973,421.76870748299314,2015.0
2.0,2.0,Promenade West,28.0,2015-08-20,520000.0,Bunker Hill,1348.0,701,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-913217,385.75667655786344,2015.0
2.0,2.0,Promenade West,28.0,2015-08-20,625000.0,Bunker Hill,1323.0,527,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=AR15120825MR,472.41118669690104,2015.0
2.0,2.0,Promenade West,28.0,2015-04-14,500000.0,Bunker Hill,1348.0,704,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-824505,370.91988130563794,2015.0
2.0,2.0,Promenade West,28.0,2015-03-26,530000.0,Bunker Hill,1348.0,412,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-879535,393.1750741839763,2015.0
3.0,2.0,Promenade West,28.0,2015-03-25,485000.0,Bunker Hill,1509.0,319,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-795913,321.40490390987406,2015.0
3.0,2.0,Promenade West,28.0,2015-02-18,560000.0,Bunker Hill,1500.0,203,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-812843,373.33333333333326,2015.0
2.0,2.0,Promenade West,28.0,2014-12-30,495000.0,Bunker Hill,1323.0,524,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-781543,374.1496598639456,2014.0
2.0,2.0,Promenade West,28.0,2014-12-23,499000.0,Bunker Hill,1217.0,209,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-812935,410.02465078060806,2014.0
1.0,1.0,Promenade West,28.0,2014-11-13,385000.0,Bunker Hill,1006.0,610,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-791495,382.7037773359841,2014.0
3.0,2.0,Promenade West,28.0,2014-09-25,470000.0,Bunker Hill,1498.0,317,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=214012630IT,313.7516688918558,2014.0
3.0,2.0,Promenade West,28.0,2014-09-19,550000.0,Bunker Hill,1512.0,206,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-738439,363.75661375661383,2014.0
2.0,3.0,Promenade West,28.0,2014-05-22,625000.0,Bunker Hill,1685.0,405,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-745001,370.91988130563794,2014.0
3.0,2.0,Promenade West,28.0,2014-02-12,398500.0,Bunker Hill,1509.0,319,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SR13129134CN,264.0821736249172,2014.0
2.0,2.0,Promenade West,28.0,2014-01-17,405000.0,Bunker Hill,1320.0,108,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-719047,306.8181818181818,2014.0
1.0,1.0,Promenade West,28.0,2013-11-19,390000.0,Bunker Hill,1006.0,711,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-689693,387.6739562624255,2013.0
2.0,2.0,Promenade West,28.0,2013-10-09,381650.0,Bunker Hill,1217.0,211,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=PW13077881MR,313.5990139687757,2013.0
2.0,2.0,Promenade West,28.0,2013-09-11,420000.0,Bunker Hill,1232.0,502,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-664793,340.90909090909093,2013.0
1.0,1.0,Promenade West,28.0,2013-04-12,290000.0,Bunker Hill,1003.0,609,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=S710858MR,289.13260219341976,2013.0
2.0,2.0,Promenade West,28.0,2013-02-11,335000.0,Bunker Hill,1323.0,522,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=P837804MR,253.21239606953893,2013.0
2.0,2.0,Promenade West,28.0,2013-02-04,390000.0,Bunker Hill,1327.0,403,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=12-631013,293.896006028636,2013.0
2.0,2.0,Promenade West,28.0,2012-11-07,380000.0,Bunker Hill,1327.0,416,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=22167529IT,286.3602110022607,2012.0
2.0,2.0,Promenade West,28.0,2012-10-24,290000.0,Bunker Hill,1327.0,526,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=12-598567,218.53805576488318,2012.0
2.0,2.0,Promenade West,28.0,2012-06-20,395000.0,Bunker Hill,1323.0,308,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=12-593925,298.56386999244137,2012.0
2.0,2.0,Promenade West,28.0,2012-02-10,380000.0,Bunker Hill,1327.0,415,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=11-569123,286.3602110022607,2012.0
3.0,2.0,Promenade West,28.0,2011-10-07,455000.0,Bunker Hill,1507.0,205,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=11-535629,301.92435301924354,2011.0
3.0,2.0,Promenade West,28.0,2011-09-27,275000.0,Bunker Hill,1512.0,216,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=C11032172MR,181.87830687830692,2011.0
2.0,2.0,Promenade West,28.0,2011-08-16,350000.0,Bunker Hill,1232.0,511,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=11-524713,284.09090909090907,2011.0
1.0,1.0,Promenade West,28.0,2011-07-18,270000.0,Bunker Hill,1006.0,804,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=11-505205,268.38966202783297,2011.0
3.0,2.0,Promenade West,28.0,2011-06-27,375000.0,Bunker Hill,1512.0,314,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=11-507735,248.01587301587298,2011.0
3.0,2.0,Promenade West,28.0,2011-04-15,443000.0,Bunker Hill,1500.0,203,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=10-469183,295.3333333333333,2011.0
2.0,2.0,Promenade West,28.0,2011-04-14,265000.0,Bunker Hill,1217.0,107,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=R1006067MR,217.74856203779785,2011.0
1.0,1.0,Promenade West,28.0,2011-01-14,250000.0,Bunker Hill,992.0,714,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=10-480135,252.0161290322581,2011.0
