building_name,2011,2012,2013,2014,2015,2016,2017,2018
Bunker Hill Tower,322.31692482908045,377.2965879265092,459.31758530183725,532.2258785338684,550.3401360544218,637.0748299319728,632.6530612244898,628.0063206384916
Promenade,269.16802610114195,271.1223203026482,449.5943404171697,458.89864325618515,479.33752861640755,569.5509309967141,498.1557566438971,550.0467726847521
Promenade West,260.20289553004557,286.3602110022607,303.7475099987058,367.3382475311259,398.62681201645944,434.13215968187285,439.0775528236477,445.95616024187444
